gr_liv_area,overall_qual,year_built,garage_cars,total_bsmt_sf,first_flr_sf,second_flr_sf,total_sf,full_bath,totrms_abvgrd,Actual,Predicted
1824,10,2006,3.0,1824.0,1824,0,3648.0,2,8,392000,325907.4861643943
1455,7,2003,3.0,1415.0,1455,0,2870.0,2,6,195000,233426.00577990105
1935,7,1976,2.0,793.0,1142,793,2728.0,2,7,197900,220489.31199598312
1428,7,2008,2.0,1417.0,1428,0,2845.0,2,6,227680,220295.42475444835
1582,7,2004,2.0,770.0,770,812,2352.0,2,6,185900,206942.7355363341
906,4,1937,1.0,348.0,453,453,1254.0,1,5,87000,63481.79148182133
1466,8,2007,3.0,1466.0,1466,0,2932.0,2,7,201000,254331.05291533924
1208,4,1925,2.0,780.0,848,0,1628.0,1,5,103000,92037.92982467613
1133,6,1950,2.0,795.0,765,368,1928.0,1,5,128500,149422.57666748122
1092,4,1976,1.0,546.0,546,546,1638.0,1,6,75190,90869.75236358738
1302,7,2007,2.0,1302.0,1302,0,2604.0,2,6,176485,208361.82604110113
1713,8,2004,3.0,1713.0,1713,0,3426.0,2,7,274900,276342.5969798658
1837,6,1997,2.0,941.0,941,896,2778.0,2,7,187000,201539.12269452098
1530,7,2005,2.0,1530.0,1530,0,3060.0,2,7,260000,225799.6188109276
2596,9,2006,3.0,1249.0,1249,1347,3845.0,3,9,342643,323513.6915852248
2358,6,1908,2.0,907.0,1307,1051,3265.0,3,10,240000,189032.18823359045
2161,7,1950,2.0,832.0,1218,943,2993.0,2,8,263400,223414.3344148089
1773,6,1961,2.0,1313.0,1773,0,3086.0,2,6,183000,205990.07823006867
1053,5,1938,0.0,585.0,585,468,1638.0,1,5,120000,86965.10336251231
2385,8,2003,3.0,1317.0,1217,1168,3702.0,2,7,350000,302623.6602630457
1489,6,1968,2.0,1489.0,1489,0,2978.0,2,7,185750,187728.50895560614
1422,5,1970,2.0,925.0,1422,0,2347.0,1,7,155000,158380.96268430236
1408,5,2005,2.0,734.0,734,674,2142.0,2,6,171500,153921.45999395894
825,5,1955,2.0,825.0,825,0,1650.0,1,4,125000,116218.68996501667
1664,7,1976,2.0,832.0,832,832,2496.0,2,8,162900,197477.50542277598
1008,5,1953,1.0,1008.0,1008,0,2016.0,1,6,134500,113305.94399452768
1269,6,1962,1.0,621.0,621,648,1890.0,1,7,134500,137469.6258903572
2009,7,1939,2.0,989.0,1245,764,2998.0,2,7,150000,216732.33816141554
1369,7,2007,2.0,1369.0,1369,0,2738.0,2,5,213133,217787.61535205203
1690,7,2001,2.0,845.0,845,845,2535.0,2,7,190550,211717.14631441503
1337,8,1993,2.0,1337.0,1337,0,2674.0,2,5,180000,230522.9143045036
1077,5,1939,1.0,991.0,1077,0,2068.0,1,5,118000,116170.6334491648
2049,7,1996,2.0,1065.0,1065,984,3114.0,2,9,210900,232618.82183164603
1044,6,1976,2.0,960.0,1044,0,2004.0,1,7,133500,154022.61041948746
800,2,1936,0.0,264.0,800,0,1064.0,1,4,60000,8202.308736242936
2020,5,1977,2.0,0.0,2020,0,2020.0,2,10,144000,171204.2319340628
754,6,1935,0.0,520.0,520,0,1040.0,1,5,84500,78518.01864186465
1718,10,2006,3.0,1700.0,1718,0,3418.0,2,7,337500,318804.74229830434
1651,8,2007,3.0,1643.0,1651,0,3294.0,2,7,246500,271477.78331718897
1034,8,1989,2.0,982.0,1034,0,2016.0,1,4,185000,209522.5076748078
1271,5,1948,1.0,720.0,720,551,1991.0,2,7,135000,108297.40652156423
1872,7,1988,2.0,1845.0,1872,0,3717.0,2,6,241500,254251.3438754062
1217,6,1991,2.0,1217.0,1217,0,2434.0,2,5,151000,176956.5943015312
1324,6,2005,2.0,1324.0,1324,0,2648.0,2,6,199500,188884.67292036233
2019,7,1910,2.0,728.0,1136,883,2747.0,1,8,167500,203787.59648264037
1795,7,2005,2.0,879.0,879,916,2674.0,2,7,191000,220670.16404850024
1714,9,2005,2.0,1714.0,1714,0,3428.0,2,7,318000,284625.6103469343
747,4,1945,1.0,747.0,747,0,1494.0,1,4,80000,71503.61992347089
934,6,1964,1.0,912.0,934,0,1846.0,1,4,132000,137079.01042933727
2020,10,2009,3.0,2006.0,2020,0,4026.0,2,9,402861,341895.66839266033
1445,6,1964,2.0,1127.0,1445,0,2572.0,1,7,158000,182633.7832130727
1580,8,2007,3.0,1580.0,1580,0,3160.0,2,7,235128,264992.72305578424
1210,6,1975,2.0,1128.0,1210,0,2338.0,2,6,148000,165745.78749399446
1824,6,1919,2.0,764.0,1060,764,2588.0,1,8,180500,174065.4485434799
1466,5,1936,2.0,796.0,1096,370,2262.0,2,7,170000,135256.21009303327
1728,5,1964,1.0,1728.0,1728,0,3456.0,2,10,119000,165358.6862041722
1627,5,1900,2.0,797.0,830,797,2424.0,2,10,139500,119001.74361375032
2030,6,1976,2.0,848.0,1118,912,2878.0,2,8,195000,203051.01703162014
1593,8,2001,2.0,1593.0,1593,0,3186.0,1,5,286000,264005.5133583123
1680,6,1915,1.0,840.0,840,840,2520.0,2,8,177000,142783.78567964525
914,4,1961,1.0,914.0,914,0,1828.0,1,4,128000,92928.65139044088
1215,6,1940,2.0,720.0,720,495,1935.0,1,6,141000,145573.6557741667
1737,7,2006,2.0,851.0,851,886,2588.0,2,7,203160,216588.4080034953
4676,10,2007,3.0,3138.0,3138,1538,7814.0,3,11,184750,526657.3731700359
1218,7,2009,2.0,1218.0,1218,0,2436.0,2,4,204500,207551.12609813968
774,3,1931,0.0,544.0,774,0,1318.0,1,6,79000,24378.210976624745
1422,5,1951,1.0,806.0,1081,341,2228.0,1,7,137500,131671.6423813539
599,2,1940,0.0,416.0,599,0,1015.0,1,4,59000,0.0
1500,7,2004,2.0,1500.0,1500,0,3000.0,2,6,190000,225790.72241368215
1356,7,2007,2.0,628.0,628,728,1984.0,2,6,177439,189638.3117023378
797,3,1900,0.0,245.0,797,0,1042.0,1,5,44000,12195.759050479159
1409,7,2002,2.0,1409.0,1409,0,2818.0,1,4,245000,229510.99650459806
1771,6,1997,2.0,864.0,872,899,2635.0,2,6,215700,198273.22525072657
2290,8,2002,2.0,1128.0,1149,1141,3418.0,2,9,255900,272610.1078227174
1436,4,1910,2.0,676.0,760,676,2112.0,2,6,98000,99560.57782556757
1652,8,2008,2.0,1600.0,1652,0,3252.0,2,5,392500,264418.3308377912
2121,9,2006,3.0,2121.0,2121,0,4242.0,2,8,415298,332875.10166510125
2794,8,1995,3.0,1462.0,1490,1304,4256.0,2,9,403000,324729.09099199553
2097,7,1993,3.0,1080.0,1080,1017,3177.0,2,9,228000,247923.81201015983
1479,7,1926,1.0,624.0,743,736,2103.0,1,6,160000,162832.3041339775
1712,8,2002,3.0,1712.0,1712,0,3424.0,2,8,286500,272363.5260465187
2082,7,2003,2.0,1362.0,1362,720,3444.0,2,6,200000,256345.9116148419
1661,6,1955,1.0,992.0,1661,0,2653.0,1,8,165500,176621.50209453877
844,5,1925,1.0,844.0,844,0,1688.0,1,5,111500,90966.23785321298
1660,8,2007,3.0,1660.0,1660,0,3320.0,2,7,256000,272474.5968385523
1148,5,1952,1.0,980.0,1148,0,2128.0,1,6,123500,122779.15223093936
1072,5,1940,2.0,808.0,1072,0,1880.0,1,5,130000,125597.15926611295
987,6,1973,1.0,483.0,483,504,1470.0,1,5,111000,126110.017818733
1892,7,2000,2.0,982.0,1008,884,2874.0,2,8,226750,225308.5646976399
864,5,1961,1.0,864.0,864,0,1728.0,1,5,122000,105901.60117614816
2291,7,1999,2.0,975.0,1005,1286,3266.0,2,8,230000,249056.11648998398
1625,8,2006,2.0,1573.0,1625,0,3198.0,2,5,235000,261167.37094292685
1661,7,1996,2.0,799.0,827,834,2460.0,2,6,212000,210166.47802062088
1525,6,2000,2.0,756.0,769,756,2281.0,2,5,177000,184087.8349002133
1251,6,1938,1.0,827.0,827,424,2078.0,1,6,119000,137551.00335576455
864,5,1971,2.0,864.0,864,0,1728.0,1,5,123000,122513.00336167507
816,5,1957,1.0,816.0,816,0,1632.0,1,5,129900,99960.82192012691
1416,6,1900,2.0,780.0,940,476,2196.0,1,7,156500,144214.00886642293
1510,4,1940,1.0,755.0,755,755,2265.0,1,7,108000,106912.76336707175
3627,10,1995,3.0,1930.0,1831,1796,5557.0,3,10,625000,420850.1315943713
1470,4,1954,1.0,941.0,997,473,2411.0,2,7,135000,109738.68069467787
2054,6,2000,2.0,992.0,1022,1032,3046.0,2,7,244000,217899.55592290778
1374,7,2004,2.0,384.0,744,630,1758.0,2,7,167000,183293.9660326962
1682,8,1997,2.0,1664.0,1682,0,3346.0,1,6,247900,267368.7418155944
1134,5,1940,1.0,756.0,756,378,1890.0,1,7,126000,104868.2188473423
1412,6,2006,2.0,616.0,616,796,2028.0,2,6,156932,171483.24096379837
1277,7,1970,2.0,1277.0,1277,0,2554.0,1,5,167000,202392.9448542653
856,6,1939,2.0,856.0,856,0,1712.0,1,4,126000,134120.13702821778
1766,9,2008,3.0,1751.0,1766,0,3517.0,2,8,395039,300109.2966457438
1836,8,2008,2.0,1836.0,1836,0,3672.0,2,8,264500,273155.6481697238
1069,6,1977,2.0,1069.0,1069,0,2138.0,2,4,127500,161194.0553690315
1768,7,1914,2.0,880.0,880,888,2648.0,1,6,163000,195831.26982208178
1902,7,1959,2.0,1902.0,1902,0,3804.0,2,7,335000,243896.2995576557
1653,7,2003,2.0,812.0,812,841,2465.0,2,6,209000,212272.95236106915
1689,4,1991,2.0,1680.0,1689,0,3369.0,2,6,228500,176147.75720543892
1606,8,2006,3.0,1598.0,1606,0,3204.0,2,6,255900,270066.0355856742
1394,5,2006,2.0,384.0,754,640,1778.0,2,7,167500,143752.1388346221
1247,8,2005,2.0,1247.0,1247,0,2494.0,1,4,197000,236257.7842520827
1764,5,1957,1.0,0.0,1764,0,1764.0,2,7,100000,141464.14329708903
1045,6,1980,2.0,516.0,529,516,1561.0,1,5,123900,146413.11985532858
1356,6,1977,2.0,1244.0,1356,0,2600.0,2,6,188000,179544.3994377189
1801,8,2005,3.0,893.0,901,900,2694.0,2,8,239900,252230.08812145574
1488,5,1952,2.0,0.0,1488,0,1488.0,1,7,135000,138807.71157711395
1204,4,1954,1.0,416.0,1204,0,1620.0,1,6,100000,95912.98959208059
1789,7,2001,2.0,858.0,872,917,2647.0,2,7,223000,218353.28247699828
1966,10,2007,3.0,1966.0,1966,0,3932.0,2,6,419005,345870.1659111625
1644,5,1942,1.0,728.0,888,756,2372.0,1,7,146500,137844.85965813778
1571,8,2007,3.0,1571.0,1571,0,3142.0,2,7,239000,264151.01225522265
1453,5,1942,1.0,835.0,955,498,2288.0,1,7,132000,129182.72243363224
1700,5,1959,2.0,1398.0,1700,0,3098.0,1,6,165500,187328.7717043627
2784,7,1978,2.0,1392.0,1392,1392,4176.0,3,12,250000,265385.87040992617
438,2,1920,1.0,290.0,438,0,728.0,1,3,60000,0.0
1876,6,1974,2.0,901.0,943,933,2777.0,2,8,185000,191657.22795883054
1248,5,1960,1.0,1248.0,1248,0,2496.0,1,6,151500,138291.96156896267
1589,8,2003,3.0,1406.0,1589,0,2995.0,2,7,226500,260834.80413163884
1338,6,1915,2.0,832.0,846,492,2170.0,2,7,92000,138033.71916499583
1694,8,2004,2.0,1686.0,1694,0,3380.0,2,7,307000,261428.28451603034
1788,4,1957,1.0,1104.0,1104,684,2892.0,1,8,161500,138240.68502849864
936,6,1996,2.0,920.0,936,0,1856.0,0,3,140000,171774.9019191292
1550,8,2006,2.0,1550.0,1550,0,3100.0,2,5,207500,255161.2819567948
2656,9,2007,3.0,1934.0,1943,713,4590.0,2,8,492000,359814.62098137545
1468,8,2008,3.0,1468.0,1468,0,2936.0,2,6,244600,258040.7335243813
1662,7,2006,3.0,1652.0,1662,0,3314.0,2,8,291000,248136.29059982637
2295,7,1992,2.0,1095.0,1166,1129,3390.0,2,9,268000,248062.2300257719
1238,5,1950,1.0,864.0,1238,0,2102.0,1,6,102000,126476.53768272127
1132,6,1939,1.0,608.0,608,524,1740.0,1,5,134000,126678.7208653295
1786,8,2002,3.0,1778.0,1786,0,3564.0,2,6,300000,285448.59661054215
2364,9,2009,3.0,2330.0,2364,0,4694.0,2,11,611657,346551.68790297373
1904,5,1950,1.0,1208.0,1136,768,3112.0,1,7,138000,169170.36284774868
2234,9,2008,3.0,2216.0,2234,0,4450.0,2,9,501837,340660.37473675446
1560,6,1912,0.0,780.0,780,780,2340.0,1,7,159900,129246.3594420331
1040,3,1950,2.0,0.0,1040,0,1040.0,2,6,92900,59773.88847135822
816,5,1925,1.0,816.0,816,0,1632.0,1,4,109000,91507.3020471267
912,5,1966,1.0,912.0,912,0,1824.0,1,6,129000,109045.5741608768
2125,7,1996,2.0,1064.0,1064,1061,3189.0,2,12,279500,227732.90753928735
1500,6,2005,2.0,750.0,750,750,2250.0,2,6,173900,180852.57771965174
1055,6,1973,2.0,1044.0,1055,0,2099.0,1,5,147000,161697.3791879313
813,6,1930,1.0,813.0,813,0,1626.0,1,5,110000,110690.42141316051
1118,6,1920,2.0,648.0,734,384,1766.0,1,6,116000,131201.10282551136
1621,5,1975,2.0,1621.0,1621,0,3242.0,2,7,213000,181805.15600548428
1092,4,1970,0.0,546.0,546,546,1638.0,1,5,88250,78869.72518230334
2285,8,2000,3.0,969.0,997,1288,3254.0,2,8,248000,282622.45844045235
1779,7,1998,2.0,866.0,866,913,2645.0,2,6,197900,219891.08195378957
1208,6,1977,2.0,1208.0,1208,0,2416.0,1,6,165000,174511.66400705604
1094,6,1953,2.0,1094.0,1094,0,2188.0,1,5,155000,158299.78396633198
2113,8,1995,3.0,2109.0,2113,0,4222.0,2,7,350000,310408.19081399497
1294,4,1900,0.0,0.0,694,600,1294.0,2,7,106250,44182.16051927488
1800,8,2002,3.0,1800.0,1800,0,3600.0,2,7,312500,283753.3072254462
1118,5,1939,2.0,793.0,793,325,1911.0,1,5,119900,124041.41847120109
1092,5,1971,1.0,525.0,525,567,1617.0,1,6,105500,109178.24245781847
1558,5,1950,1.0,910.0,910,648,2468.0,1,6,152000,142493.8090715888
1054,6,1969,2.0,1054.0,1054,0,2108.0,1,6,151000,157205.74700250663
1456,7,2005,2.0,728.0,728,728,2184.0,2,7,189000,195105.10641973536
1093,4,1958,1.0,869.0,1093,0,1962.0,1,5,115500,101078.00653927529
1601,5,1925,0.0,936.0,936,665,2537.0,2,6,129850,117267.75793870178
1456,7,2007,2.0,728.0,728,728,2184.0,2,7,177594,195830.93391291553
1000,5,1963,2.0,1000.0,1000,0,2000.0,1,4,164000,135488.5988375428
2267,7,1937,2.0,1005.0,1262,1005,3272.0,1,7,219000,238883.2928564659
1349,7,2000,2.0,1349.0,1349,0,2698.0,2,6,179000,210217.03066234686
2748,9,2006,3.0,1850.0,1850,898,4598.0,2,9,390000,359029.21897236444
1337,5,1950,1.0,572.0,1337,0,1909.0,1,7,141500,124994.99099181569
914,6,2002,0.0,914.0,914,0,1828.0,1,4,117250,136443.53211664804
1246,5,1959,1.0,1246.0,1246,0,2492.0,1,6,154000,137742.0009778035
666,3,1946,0.0,666.0,666,0,1332.0,1,4,64500,30500.03082756244
1152,5,1978,1.0,1152.0,1152,0,2304.0,2,6,159900,129208.86749203247
1964,8,2005,3.0,1964.0,1964,0,3928.0,2,7,370000,300179.8897198911
1802,6,1993,4.0,946.0,964,838,2748.0,2,8,218000,221164.04104952805
1968,8,2009,3.0,774.0,774,1194,2742.0,2,8,269500,259854.3080812086
1861,8,2007,3.0,1341.0,1341,520,3202.0,3,7,257000,267654.24092571926
1484,4,1910,1.0,771.0,866,504,2141.0,2,6,50000,88926.18962160707
2091,9,2005,2.0,1606.0,1625,466,3697.0,2,8,338500,301138.02041427535
1659,7,2004,2.0,831.0,831,828,2490.0,2,8,181000,207302.0983759968
1002,5,1970,2.0,1002.0,1002,0,2004.0,1,5,148500,135056.3218903601
2574,8,2007,3.0,1482.0,1482,1092,4056.0,2,10,276000,312815.1760398336
1392,5,1915,0.0,1212.0,1212,180,2604.0,1,6,100000,116567.81885629345
2610,8,2007,2.0,1184.0,1184,1426,3794.0,2,11,303477,289132.8336344166
2270,8,1999,3.0,1152.0,1164,1106,3422.0,2,9,290000,283950.6235688473
1291,6,1996,2.0,1291.0,1291,0,2582.0,1,6,173000,189169.46924188978
630,4,1972,0.0,630.0,630,0,1260.0,1,3,81000,60537.505972361076
803,5,1941,2.0,720.0,803,0,1523.0,1,5,87000,104311.47147629061
1358,7,2009,2.0,1358.0,1358,0,2716.0,2,6,224000,214324.96518221905
1506,9,2008,2.0,1498.0,1506,0,3004.0,2,6,264132,269266.09704858763
1258,4,1969,2.0,1198.0,1258,0,2456.0,0,6,108959,140140.86588314048
1948,7,2004,2.0,847.0,847,1101,2795.0,2,8,195000,225415.20023794763
1504,7,2005,2.0,1346.0,1504,0,2850.0,2,7,181000,220304.73109568807
1594,7,2004,2.0,846.0,846,748,2440.0,2,7,195500,206995.29914781242
1097,6,1984,2.0,1040.0,1097,0,2137.0,2,6,152000,158928.56049765158
1620,7,1967,2.0,1620.0,1620,0,3240.0,2,8,215000,217266.2844282362
1527,7,1948,2.0,699.0,801,726,2226.0,1,6,152500,188943.9517302547
1488,7,2004,2.0,1488.0,1488,0,2976.0,2,6,260000,224668.44134626677
1492,7,2006,2.0,738.0,738,754,2230.0,2,8,169985,194826.07980989828
1826,8,2005,3.0,1814.0,1826,0,3640.0,2,7,319000,287041.00336341304
1226,5,1951,2.0,0.0,1226,0,1226.0,1,7,153500,119021.27529822441
1768,7,2005,2.0,866.0,866,902,2634.0,2,7,226700,218602.21970724151
1392,5,2002,3.0,1441.0,1392,0,2833.0,2,6,215000,187278.9523626637
1626,7,2003,2.0,764.0,764,862,2390.0,2,6,173000,209062.03786874632
1823,7,2000,2.0,928.0,928,895,2751.0,2,6,235000,225319.75324803952
1112,5,1951,2.0,631.0,1112,0,1743.0,1,5,126000,129122.98606823315
1939,8,2006,3.0,1095.0,1095,844,3034.0,2,8,266000,267483.0891058254
1432,8,2006,2.0,1422.0,1432,0,2854.0,2,7,245000,237612.19969044428
1689,8,2002,3.0,1568.0,1689,0,3257.0,2,7,271000,271026.27869972493
1652,8,2000,2.0,1494.0,1652,0,3146.0,2,6,251000,256300.18979656126
1416,7,1999,2.0,696.0,696,720,2112.0,2,6,155000,192607.65738693636
2018,9,2008,3.0,2002.0,2018,0,4020.0,2,10,378500,317338.37118559843
1055,7,1975,2.0,1057.0,1055,0,2112.0,2,4,123000,180006.5165618871
1131,5,1941,1.0,676.0,676,455,1807.0,1,5,66500,108755.46803050267
965,5,1996,2.0,870.0,965,0,1835.0,1,4,159000,142349.58788553055
1104,5,1956,1.0,1104.0,1104,0,2208.0,1,5,133000,126532.65379150223
1876,7,2005,3.0,1308.0,1308,568,3184.0,2,7,229800,252592.2149037585
1173,5,1901,1.0,592.0,933,240,1765.0,2,7,113000,85620.01777320774
816,6,1930,1.0,816.0,816,0,1632.0,1,5,120500,110970.99168001441
1172,5,1954,1.0,1172.0,1172,0,2344.0,1,5,128000,132166.41901367495
1190,7,2005,2.0,1169.0,1190,0,2359.0,2,5,173500,199913.95062782266
1048,5,1950,2.0,0.0,1048,0,1048.0,1,7,98300,105462.22792282002
1080,5,1890,0.0,684.0,684,396,1764.0,1,5,95000,74421.62881006137
1726,6,2008,2.0,1726.0,1726,0,3452.0,2,6,222000,227569.82991854276
1614,7,2005,3.0,1614.0,1614,0,3228.0,2,7,245700,246637.85100246046
1131,4,1937,2.0,907.0,1131,0,2038.0,1,7,89471,103673.53259155923
1688,7,1988,2.0,1675.0,1688,0,3363.0,2,6,226500,237314.46393644263
1432,6,1923,1.0,1022.0,1432,0,2454.0,1,6,149000,154932.28912221256
1229,4,1956,1.0,1134.0,1229,0,2363.0,1,6,135000,112412.67583185108
2713,9,2008,3.0,1452.0,1476,1237,4165.0,2,11,446261,338626.49616710655
1180,4,1922,1.0,700.0,1180,0,1880.0,1,5,137500,91186.3623351279
1409,6,1938,2.0,861.0,861,548,2270.0,1,6,126000,161260.58883258805
1419,8,2002,2.0,408.0,779,640,1827.0,2,7,184100,207045.7043187362
1111,5,1941,1.0,616.0,616,495,1727.0,1,5,95000,105578.74798359466
1287,5,1992,2.0,624.0,624,663,1911.0,1,6,130000,144883.75935841538
980,5,1977,2.0,980.0,980,0,1960.0,1,6,135000,132379.48280834698
2365,7,1971,2.0,1803.0,2365,0,4168.0,2,7,315000,280656.64289816585
1308,5,1915,2.0,880.0,880,428,2188.0,2,6,120000,119940.32791986968
1057,5,1962,2.0,1057.0,1057,0,2114.0,1,6,132000,134137.08012541
1537,6,1962,2.0,1319.0,1537,0,2856.0,1,7,174000,192450.89458010136
2279,6,1958,2.0,585.0,2279,0,2864.0,2,7,257000,225139.87396471284
1391,7,2004,2.0,1391.0,1391,0,2782.0,2,5,196000,218756.38940254296
1980,9,2004,3.0,1980.0,1980,0,3960.0,2,8,315000,318962.47162979236
1282,6,1978,3.0,995.0,1282,0,2277.0,2,6,174000,182575.97263733041
1992,7,1996,2.0,860.0,1212,780,2852.0,2,7,211000,233444.7902481017
1652,7,2000,2.0,782.0,782,870,2434.0,2,6,207500,210143.6552881326
1096,5,1969,1.0,1096.0,1096,0,2192.0,1,6,138800,127342.62510101392
1668,9,2002,3.0,1626.0,1668,0,3294.0,2,7,285000,291402.7671174882
1916,8,1998,3.0,1049.0,1036,880,2965.0,2,8,254900,261505.15590076766
1568,5,1967,2.0,1568.0,1568,0,3136.0,1,7,143000,180582.39762790955
1211,6,1976,2.0,1211.0,1211,0,2422.0,2,6,161000,167792.02755108988
1040,5,1965,1.0,1040.0,1040,0,2080.0,1,5,129500,123813.37848459848
1236,6,1925,1.0,768.0,788,448,2004.0,2,6,127000,123621.47257685999
1164,7,1969,2.0,1164.0,1164,0,2328.0,1,6,140000,188302.16437163274
1696,8,2008,3.0,1696.0,1696,0,3392.0,2,7,275000,276204.3537873882
1824,6,1971,0.0,912.0,912,912,2736.0,2,8,139000,161240.81069585786
1224,4,1964,3.0,0.0,1224,0,1224.0,2,8,103000,105967.29364722047
1337,6,1997,2.0,1405.0,1337,0,2742.0,2,5,177000,191675.26058204123
1947,7,2004,2.0,991.0,991,956,2938.0,2,8,254900,230056.838870071
2443,6,2004,3.0,1158.0,1158,1285,3601.0,2,9,265000,254714.24068715575
1020,5,1964,2.0,980.0,1020,0,2000.0,2,5,165000,127149.45443170238
874,4,1971,2.0,864.0,874,0,1738.0,1,5,97500,102445.51826569857
1733,7,2004,2.0,847.0,847,886,2580.0,2,7,185088,215488.48682117672
2032,7,1996,3.0,1840.0,2032,0,3872.0,3,7,300000,272104.65952263516
1004,7,1930,1.0,502.0,502,502,1506.0,1,5,105000,132968.77839207835
1960,8,2005,3.0,1728.0,1960,0,3688.0,2,8,320000,292148.0971096116
1092,5,1957,1.0,1092.0,1092,0,2184.0,1,6,141000,122613.56645279459
3820,5,1959,2.0,0.0,3820,0,3820.0,3,11,284700,288318.8194331578
1060,5,1925,1.0,756.0,916,144,1816.0,1,6,136500,100203.01686838642
1301,7,2006,2.0,1293.0,1301,0,2594.0,2,5,187750,210910.00616930693
1342,6,1967,2.0,1372.0,1342,0,2714.0,2,7,161500,174199.2873361871
2418,7,1993,3.0,1311.0,1325,1093,3729.0,2,9,341000,275191.5227598031
1264,5,1965,2.0,1068.0,1264,0,2332.0,1,7,169000,147625.4331005609
1671,7,1929,2.0,1022.0,1122,549,2693.0,2,7,218000,191537.8893754948
1270,7,2005,2.0,1270.0,1270,0,2540.0,2,6,175900,204643.24903481372
1315,4,1958,2.0,808.0,838,477,2123.0,2,5,99500,116369.368664801
1908,7,1994,2.0,915.0,933,975,2823.0,2,8,210000,221810.8373026885
2612,8,1998,3.0,1225.0,1276,1336,3837.0,2,8,336000,310465.3677905719
2589,9,2006,3.0,1738.0,1738,851,4327.0,2,11,412083,339374.40042477637
2200,7,1993,2.0,812.0,1101,1099,3012.0,2,9,225000,236293.5582143817
2006,8,1998,3.0,1982.0,2006,0,3988.0,2,5,350000,307421.60910307267
2200,8,2003,3.0,2200.0,2200,0,4400.0,2,8,382500,318365.8698679947
1953,6,1992,2.0,1580.0,1079,874,3533.0,2,9,240000,214685.57718171494
1131,6,2005,0.0,1131.0,1131,0,2262.0,1,6,132000,151507.41595641186
1086,5,1966,2.0,1024.0,1086,0,2110.0,1,6,159950,137098.86827180802
1209,5,1966,2.0,1209.0,1209,0,2418.0,1,6,159000,149804.2952990299
2690,8,2003,3.0,1765.0,1804,886,4455.0,2,9,370000,331343.02803872223
1911,8,1993,2.0,777.0,1065,846,2688.0,2,8,215000,241515.27932762576
1362,4,1957,3.0,1040.0,1362,0,2402.0,1,6,140000,146777.69447878818
2828,8,2006,3.0,1466.0,1466,1362,4294.0,3,11,424870,317593.0002512117
1064,5,1967,2.0,1064.0,1064,0,2128.0,1,6,153600,136606.31281435257
1949,5,1977,2.0,1949.0,1949,0,3898.0,2,10,157000,203727.50595436653
1981,6,1978,2.0,1117.0,1117,864,3098.0,2,8,230000,205996.41558138235
1302,6,2005,2.0,1302.0,1302,0,2604.0,1,5,204000,196624.17062421364
2200,5,1900,0.0,1272.0,1272,928,3472.0,2,9,145900,146147.6798907834
2495,6,1993,2.0,1280.0,1280,1215,3775.0,2,9,243500,244889.0830159661
2088,8,2007,3.0,948.0,948,1140,3036.0,2,10,250000,265795.29088805756
1039,5,1965,2.0,1039.0,1039,0,2078.0,1,6,131500,133542.39976405725
